epoch,loss_reg
1,180.8253936767578
2,170.7304229736328
3,161.10659790039062
4,151.94927978515625
5,143.2535858154297
6,135.0106201171875
7,127.2099838256836
8,119.83700561523438
9,112.8799819946289
10,106.32441711425781
11,100.15475463867188
12,94.35521697998047
13,88.90907287597656
14,83.79940795898438
15,79.00997924804688
16,74.52424621582031
17,70.3249282836914
18,66.39588165283203
19,62.72142028808594
20,59.285972595214844
21,56.075130462646484
22,53.0743293762207
23,50.270084381103516
24,47.64958572387695
25,45.20085525512695
26,42.91231155395508
27,40.77279281616211
28,38.77201843261719
29,36.90044021606445
30,35.14863967895508
31,33.50852584838867
32,31.97173309326172
33,30.531213760375977
34,29.18052101135254
35,27.913440704345703
36,26.724063873291016
37,25.60683250427246
38,24.556373596191406
39,23.567893981933594
40,22.63738250732422
41,21.760679244995117
42,20.93400764465332
43,20.15411949157715
44,19.41781997680664
45,18.72213363647461
46,18.06426239013672
47,17.441669464111328
48,16.851940155029297
49,16.293058395385742
50,15.762959480285645
51,15.25969409942627
52,14.781436920166016
53,14.326632499694824
54,13.893869400024414
55,13.481688499450684
56,13.088849067687988
57,12.714204788208008
58,12.356622695922852
59,12.014996528625488
60,11.688447952270508
61,11.376123428344727
62,11.07720947265625
63,10.790938377380371
64,10.51653003692627
65,10.253376960754395
66,10.000855445861816
67,9.75823974609375
68,9.525106430053711
69,9.300978660583496
70,9.085370063781738
71,8.877835273742676
72,8.677957534790039
73,8.485294342041016
74,8.299527168273926
75,8.120288848876953
76,7.947179794311523
77,7.779959201812744
78,7.618284702301025
79,7.461944580078125
80,7.310696601867676
81,7.164322853088379
82,7.022606372833252
83,6.885342597961426
84,6.75236701965332
85,6.623468399047852
86,6.498397350311279
87,6.3770012855529785
88,6.259188175201416
89,6.144820213317871
90,6.033753871917725
91,5.925847053527832
92,5.820960521697998
93,5.7189621925354
94,5.619779586791992
95,5.52329158782959
96,5.429379940032959
97,5.337986469268799
98,5.249011039733887
99,5.1623759269714355
100,5.077975273132324
