epoch,loss_diversity
1,-605.7881469726562
2,-605.7881469726562
3,-605.7881469726562
4,-605.7881469726562
5,-605.7881469726562
6,-605.7881469726562
7,-605.7881469726562
8,-605.7881469726562
9,-605.7881469726562
10,-605.7881469726562
11,-605.7881469726562
12,-605.7881469726562
13,-605.7881469726562
14,-605.7881469726562
15,-605.7881469726562
16,-605.7881469726562
17,-605.7881469726562
18,-605.7881469726562
19,-605.7881469726562
20,-605.7881469726562
21,-605.7881469726562
22,-605.7881469726562
23,-605.7881469726562
24,-605.7881469726562
25,-605.7881469726562
26,-605.7881469726562
27,-605.7881469726562
28,-605.7881469726562
29,-605.7881469726562
30,-605.7881469726562
31,-605.7881469726562
32,-605.7881469726562
33,-605.7881469726562
34,-605.7881469726562
35,-605.7881469726562
36,-605.7881469726562
37,-605.7881469726562
38,-605.7881469726562
39,-605.7881469726562
40,-605.7881469726562
41,-605.7881469726562
42,-605.7881469726562
43,-605.7881469726562
44,-605.7881469726562
45,-605.7881469726562
46,-605.7881469726562
47,-605.7881469726562
48,-605.7881469726562
49,-605.7881469726562
50,-605.7881469726562
51,-605.7881469726562
52,-605.7881469726562
53,-605.7881469726562
54,-605.7881469726562
55,-605.7881469726562
56,-605.7881469726562
57,-605.7881469726562
58,-605.7881469726562
59,-605.7881469726562
60,-605.7881469726562
61,-605.7881469726562
62,-605.7881469726562
63,-605.7881469726562
64,-605.7881469726562
65,-605.7881469726562
66,-605.7881469726562
67,-605.7881469726562
68,-605.7881469726562
69,-605.7881469726562
70,-605.7881469726562
71,-605.7881469726562
72,-605.7881469726562
73,-605.7881469726562
74,-605.7881469726562
75,-605.7881469726562
76,-605.7881469726562
77,-605.7881469726562
78,-605.7881469726562
79,-605.7881469726562
80,-605.7881469726562
81,-605.7881469726562
82,-605.7881469726562
83,-605.7881469726562
84,-605.7881469726562
85,-605.7881469726562
86,-605.7881469726562
87,-605.7881469726562
88,-605.7881469726562
89,-605.7881469726562
90,-605.7881469726562
91,-605.7881469726562
92,-605.7881469726562
93,-605.7881469726562
94,-605.7881469726562
95,-605.7881469726562
96,-605.7881469726562
97,-605.7881469726562
98,-605.7881469726562
99,-605.7881469726562
100,-605.7881469726562
