Fold,Model,MAE,RMSE,R2
1,DynamicFusion,27.493148803710938,27.49314878256888,
1,LinearRegression,0.5221023559570312,0.522102361252667,
1,Ridge,0.4813995361328125,0.4813995339563711,
1,Lasso,0.1790313720703125,0.17903137662206917,
1,ElasticNet,0.44408416748046875,0.44408416322058036,
1,SVR,12.540856181985518,12.540856181985518,
1,KNNRegressor,6.333335876464844,6.333336010313305,
1,RandomForestRegressor,0.4066666666666663,0.4066666666666663,
1,ExtraTreesRegressor,0.46666666666666856,0.46666666666666856,
1,GradientBoostingStacking,8.999482052721689,8.999482052721689,
2,DynamicFusion,43.43480682373047,43.43480629012794,
2,LinearRegression,0.771728515625,0.771728515625,
2,Ridge,0.3417205810546875,0.3417205834394056,
2,Lasso,1.1797027587890625,1.1797027586903805,
2,ElasticNet,0.614044189453125,0.6140442008283963,
2,SVR,2.007408136501084,2.007408136501084,
2,KNNRegressor,2.3333358764648438,2.3333358310504444,
2,RandomForestRegressor,3.903333333333336,3.903333333333336,
2,ExtraTreesRegressor,0.6866666666666674,0.6866666666666674,
2,GradientBoostingStacking,5.999754307060272,5.999754307060272,
3,DynamicFusion,0.8058700561523438,0.8058700390700464,
3,LinearRegression,0.9988784790039062,0.9988784759445729,
3,Ridge,0.98150634765625,0.9815063457585087,
3,Lasso,1.2708969116210938,1.2708969048197256,
3,ElasticNet,1.0010833740234375,1.001083383210295,
3,SVR,16.546434783680965,16.546434783680965,
3,KNNRegressor,13.666664123535156,13.66666418556253,
3,RandomForestRegressor,8.379999999999995,8.379999999999995,
3,ExtraTreesRegressor,6.0,6.0,
3,GradientBoostingStacking,7.188241863975534,7.188241863975534,
4,DynamicFusion,4.7061309814453125,4.706130983993218,
4,LinearRegression,1.0906219482421875,1.0906219438657596,
4,Ridge,0.9767684936523438,0.9767685024421747,
4,Lasso,1.1570358276367188,1.157035818354972,
4,ElasticNet,1.09979248046875,1.0997924652260505,
4,SVR,9.92213829325631,9.92213829325631,
4,KNNRegressor,5.666664123535156,5.666664273130622,
4,RandomForestRegressor,0.673333333333332,0.673333333333332,
4,ExtraTreesRegressor,0.8400000000000034,0.8400000000000034,
4,GradientBoostingStacking,5.999555096568642,5.999555096568642,
5,DynamicFusion,0.02872467041015625,0.02872467041015625,
5,LinearRegression,0.8270645141601562,0.8270645189107132,
5,Ridge,0.9120559692382812,0.9120559840126743,
5,Lasso,1.0093841552734375,1.009384171766059,
5,ElasticNet,0.9316978454589844,0.9316978516986576,
5,SVR,22.287472892878213,22.287472892878213,
5,KNNRegressor,18.333335876464844,18.333335922703416,
5,RandomForestRegressor,12.813333333333333,12.813333333333333,
5,ExtraTreesRegressor,9.0,9.0,
5,GradientBoostingStacking,10.784822188155303,10.784822188155303,
