model,RMSE,MAE,R2
AdaBoost,5.704658320497506,4.561549411303202,0.1833869388241841
CatBoost,5.626740571825773,4.534452763977741,0.20581496132087046
ElasticNet,5.369789360119814,4.295153665542602,0.2636307835578918
ExtraTrees,5.499798425851739,4.380644730038113,0.2209482459247533
GradientBoosting,5.675059015258619,4.539878351108636,0.18087483235992413
HAFM,6.369855804510641,5.195359325408935,-0.04467707872390747
KNN,5.920488272535217,4.775607347488403,0.12337568998336793
LSTM,41.63690713529773,41.14431457519531,-43.53545227050781
Lasso,5.369690601640906,4.295068645477295,0.2636405944824219
LinearRegression,5.3701984942405,4.295447587966919,0.26350497007369994
RandomForest,5.619825208501841,4.496647261725531,0.18958985310710824
Ridge,5.368937028353686,4.294657373428345,0.2639800786972046
SVR,5.776398834856729,4.700641964854766,0.15145470470327946
XGBoost,5.893079933339022,4.6847433090209964,0.11756752729415894
