Model,MAE,RMSE,R2
Lasso,0.02762603759765625,0.02762603759765625,
Ridge,0.30269622802734375,0.30269622562362775,
DynamicFusion,0.35671234130859375,0.3567123457959929,
LinearRegression,0.75408935546875,0.7540893727591623,
ElasticNet,0.9955596923828125,0.9955596988142126,
RandomForestRegressor,1.1299999999999955,1.1299999999999955,
GradientBoostingRegressor,1.8963510073745056,1.8963510073745056,
KNNRegressor,9.0,9.0,
SVR,9.885581707719794,9.885581707719794,
