epoch,loss_total,loss_reg,loss_transfer,loss_diversity,loss_stability
1,145.4462890625,207.5205535888672,0.42762577533721924,-621.1773071289062,0.007191447541117668
2,135.1654815673828,197.23974609375,0.42762577533721924,-621.1773071289062,0.007194285746663809
3,125.32526397705078,187.39952087402344,0.42762577533721924,-621.1773071289062,0.007210274692624807
4,115.92241668701172,177.99667358398438,0.42762577533721924,-621.1773071289062,0.00723932683467865
5,106.9504165649414,169.02467346191406,0.42762577533721924,-621.1773071289062,0.00728114228695631
6,98.4019775390625,160.47622680664062,0.42762577533721924,-621.1773071289062,0.0073351808823645115
7,90.26509857177734,152.33934020996094,0.42762577533721924,-621.1773071289062,0.0074006337672472
8,82.52760314941406,144.60183715820312,0.42762577533721924,-621.1773071289062,0.007476250175386667
9,75.17902374267578,137.2532501220703,0.42762577533721924,-621.1773071289062,0.007561386562883854
10,68.20614624023438,130.28036499023438,0.42762577533721924,-621.1773071289062,0.007655384950339794
11,61.59558868408203,123.66978454589844,0.42762577533721924,-621.1773071289062,0.007757158018648624
12,55.33424758911133,117.40843200683594,0.42762577533721924,-621.1773071289062,0.007866045460104942
13,49.407501220703125,111.48167419433594,0.42762577533721924,-621.1773071289062,0.0079813776537776
14,43.79861068725586,105.87277221679688,0.42762577533721924,-621.1773071289062,0.00810271967202425
15,38.49472427368164,100.5688705444336,0.42762577533721924,-621.1773071289062,0.008229407481849194
16,33.48307800292969,95.55721282958984,0.42762577533721924,-621.1773071289062,0.008360415697097778
17,28.749357223510742,90.82347869873047,0.42762577533721924,-621.1773071289062,0.008495479822158813
18,24.2796688079834,86.35377502441406,0.42762577533721924,-621.1773071289062,0.008634070865809917
19,20.061031341552734,82.13512420654297,0.42762577533721924,-621.1773071289062,0.008775591850280762
20,16.079998016357422,78.1540756225586,0.42762577533721924,-621.1773071289062,0.008919505402445793
21,12.32325267791748,74.3973159790039,0.42762577533721924,-621.1773071289062,0.009065602906048298
22,8.778139114379883,70.85218811035156,0.42762577533721924,-621.1773071289062,0.009213565848767757
23,5.433511257171631,67.5075454711914,0.42762577533721924,-621.1773071289062,0.009362188167870045
24,2.2777798175811768,64.35179901123047,0.42762577533721924,-621.1773071289062,0.009510979987680912
25,-0.6998739838600159,61.37413024902344,0.42762577533721924,-621.1773071289062,0.009659907780587673
26,-3.5106005668640137,58.56338882446289,0.42762577533721924,-621.1773071289062,0.009809459559619427
27,-6.164119243621826,55.909854888916016,0.42762577533721924,-621.1773071289062,0.009959499351680279
28,-8.669342041015625,53.40461730957031,0.42762577533721924,-621.1773071289062,0.01010951492935419
29,-11.034893035888672,51.0390510559082,0.42762577533721924,-621.1773071289062,0.010259120725095272
30,-13.26924991607666,48.80467987060547,0.42762577533721924,-621.1773071289062,0.010408096946775913
31,-15.379895210266113,46.69401931762695,0.42762577533721924,-621.1773071289062,0.010556193999946117
32,-17.374814987182617,44.6990852355957,0.42762577533721924,-621.1773071289062,0.01070406474173069
33,-19.26035499572754,42.81352996826172,0.42762577533721924,-621.1773071289062,0.010851702652871609
34,-21.043344497680664,41.03052520751953,0.42762577533721924,-621.1773071289062,0.010998622514307499
35,-22.730026245117188,39.34383010864258,0.42762577533721924,-621.1773071289062,0.01114390604197979
36,-24.326229095458984,37.74761199951172,0.42762577533721924,-621.1773071289062,0.011288260109722614
37,-25.837343215942383,36.23648452758789,0.42762577533721924,-621.1773071289062,0.011431809514760971
38,-27.26889991760254,34.80491256713867,0.42762577533721924,-621.1773071289062,0.011574345640838146
39,-28.625389099121094,33.44841003417969,0.42762577533721924,-621.1773071289062,0.011716367676854134
40,-29.910961151123047,32.16282272338867,0.42762577533721924,-621.1773071289062,0.011857287026941776
41,-31.12987518310547,30.94389533996582,0.42762577533721924,-621.1773071289062,0.01199729647487402
42,-32.28622817993164,29.78752899169922,0.42762577533721924,-621.1773071289062,0.012136495672166348
43,-33.38409423828125,28.68964958190918,0.42762577533721924,-621.1773071289062,0.012274695560336113
44,-34.426692962646484,27.647037506103516,0.42762577533721924,-621.1773071289062,0.012412091717123985
45,-35.41728591918945,26.656429290771484,0.42762577533721924,-621.1773071289062,0.012548577971756458
46,-36.35908889770508,25.71461296081543,0.42762577533721924,-621.1773071289062,0.012683886103332043
47,-37.25477600097656,24.818910598754883,0.42762577533721924,-621.1773071289062,0.012818241491913795
48,-38.1073112487793,23.96636199951172,0.42762577533721924,-621.1773071289062,0.012952017597854137
49,-38.91897964477539,23.15468406677246,0.42762577533721924,-621.1773071289062,0.013084540143609047
50,-39.69211959838867,22.38153076171875,0.42762577533721924,-621.1773071289062,0.013216113671660423
51,-40.42888641357422,21.64474868774414,0.42762577533721924,-621.1773071289062,0.013346376828849316
52,-41.13154983520508,20.942075729370117,0.42762577533721924,-621.1773071289062,0.013474981300532818
53,-41.802181243896484,20.27142906188965,0.42762577533721924,-621.1773071289062,0.013602339662611485
54,-42.44234085083008,19.631256103515625,0.42762577533721924,-621.1773071289062,0.013728736899793148
55,-43.0538215637207,19.019763946533203,0.42762577533721924,-621.1773071289062,0.013854432851076126
56,-43.63837432861328,18.435197830200195,0.42762577533721924,-621.1773071289062,0.013979249633848667
57,-44.19721221923828,17.876346588134766,0.42762577533721924,-621.1773071289062,0.014103198423981667
58,-44.731876373291016,17.341670989990234,0.42762577533721924,-621.1773071289062,0.014225950464606285
59,-45.24347686767578,16.83005714416504,0.42762577533721924,-621.1773071289062,0.014347889460623264
60,-45.73336410522461,16.340160369873047,0.42762577533721924,-621.1773071289062,0.014469136483967304
61,-46.20269775390625,15.87081527709961,0.42762577533721924,-621.1773071289062,0.014589579775929451
62,-46.652488708496094,15.42100715637207,0.42762577533721924,-621.1773071289062,0.01470902655273676
63,-47.08370590209961,14.989778518676758,0.42762577533721924,-621.1773071289062,0.014827520586550236
