Model,RMSE,MAE,R2
LSTM,10.792436599731445,7.126687049865723,0.7721399068832397
XGBoost,12.14404582977295,7.9694504737854,0.711493194103241
CatBoost,12.30819639499728,8.16105533919827,0.703641007186262
Stacking,11.33541085020951,7.773718066214505,0.7486355786943171
DynamicFusion,10.366561889648438,6.795473098754883,0.7897679805755615
