setting,RMSE,MAE,R2,Std,CI95_low,CI95_high
full,5.8981222106338445,5.010590553283691,0.13993626832962036,5.755587100982666,-2.7881922300525135,0.21055408079103866
no_transfer,5.786172946195201,4.919525623321533,0.17227530479431152,5.784865856170654,-1.3840010582528608,1.6299999474607008
no_diversity,5.694162344212368,4.773226737976074,0.1983906626701355,5.682858467102051,-1.83903757764855,1.1218159003452357
no_stability,5.832676478142915,5.035325527191162,0.15891700983047485,5.801833152770996,-2.1104573509250892,0.9123833677326454
