Module,Model,RMSE,MAE,R2
AAA,XGBoost,13.458115577697754,10.34376335144043,-0.18606853485107422
AAA,CatBoost,12.840898641464095,10.144689884817444,-0.07977214330553828
AAA,LSTM,10.941669464111328,8.278008460998535,0.21601378917694092
BBB,XGBoost,12.110613822937012,8.918852806091309,0.3563816547393799
BBB,CatBoost,11.452558877087164,8.515270303907036,0.4244260662975474
BBB,LSTM,16.05558204650879,11.420811653137207,-0.13122284412384033
CCC,XGBoost,14.201319694519043,9.849270820617676,0.6147949695587158
CCC,CatBoost,14.22501077153357,10.025070223303477,0.6135086896881519
CCC,LSTM,13.774158477783203,9.43467903137207,0.6376196146011353
DDD,XGBoost,25.240297317504883,18.315038681030273,0.37621885538101196
DDD,CatBoost,25.344159050509337,18.466713962470564,0.3710745849353335
DDD,LSTM,24.728429794311523,17.599130630493164,0.4012625217437744
EEE,XGBoost,10.028127670288086,7.170815944671631,0.653351902961731
EEE,CatBoost,10.083953023331896,7.292545295257837,0.6494816749690255
EEE,LSTM,9.01973819732666,6.759095668792725,0.7195619344711304
FFF,XGBoost,11.896350860595703,8.759511947631836,0.46991950273513794
FFF,CatBoost,11.882182618688349,8.982243272068414,0.47118139131939907
FFF,LSTM,12.489694595336914,8.953383445739746,0.4157242178916931
GGG,XGBoost,29.08201026916504,25.758888244628906,-2.001075943820493e+16
GGG,CatBoost,29.96370833819712,26.713148361525143,-2.1242511235511076e+16
GGG,LSTM,29.895584106445312,26.693029403686523,-2.1146028816203776e+16
