model,dataset,rmse,mae,r2,params,train_time_sec
Linear,student_scores,0.737693937674041,0.737693937674041,0.0,18,0.003091228399989632
DynamicFusion,student_scores,1.1526707906543465,1.1526707906543465,0.0,3,0.08333635059998415
RF,student_scores,5.222999999999999,5.222999999999999,0.0,200,0.34356959959998223
XGB,student_scores,10.018222045898437,10.018222045898437,0.0,0,0.10648923100000048
MLP,student_scores,10.403213770236281,10.403213770236281,0.0,609,0.024657156999978724
